"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"
"Il1rapl2"	1.10804867064093	3.22816035660351	9.37424636494067	1.29461056490482e-12	4.05365413940492e-10	18.5265998198805
"Tox3"	-1.01622139373648	3.92815709245744	-9.28594505175378	1.75570001079063e-12	5.28995725892745e-10	18.2689610444006
"Slc1a1"	0.298149761341973	6.45681457335944	9.29814657013931	1.68323968370499e-12	5.16916432867019e-10	18.1632013039893
"Trpv6"	1.74278247712723	-0.0256816801696671	9.41413380135883	1.12847260377212e-12	3.67766918564019e-10	18.0162091833826
"Kit"	0.530969846011685	7.02369662470598	9.2413869642184	2.04810938361577e-12	6.05671458277042e-10	17.9553655130978
"Gda"	-0.625443358845674	7.84862865489195	-9.12078227842154	3.11093086248528e-12	9.03244635327771e-10	17.5293300380695
"Ube2e3"	-0.515610811924006	7.24399242378044	-9.11129359484757	3.21514563435624e-12	9.16833225625622e-10	17.5034702783656
"Tmem200c"	-0.963204741293009	4.12367307189838	-9.05784532645551	3.87153051333224e-12	1.08463983802461e-09	17.4864611126367
"Cadps"	0.311752030991096	8.38203798836538	9.00414015214183	4.66743925173354e-12	1.28507478294712e-09	17.1210185644261
"Limd2"	-0.492466830058437	6.58829759329229	-8.99490104208002	4.82014124085943e-12	1.30462433008956e-09	17.1099828492997
"Zcchc12"	-0.876892480943344	7.54582216988428	-8.9766771458918	5.13627045220242e-12	1.36701838085367e-09	17.0382375335064
"Pnck"	-0.544512251885939	6.32502923739664	-8.8953148636019	6.82324178065979e-12	1.75742496766704e-09	16.7765697201314
"Pdzrn4"	-1.05960451695839	3.64145267612172	-8.80813917942842	9.25668257716041e-12	2.34634863610595e-09	16.6376227912129
"Epha4"	0.912650960006277	8.20402474621492	8.79731032607786	9.61461486716114e-12	2.398996637714e-09	16.40276314338
"Ros1"	-1.85867420051192	0.563114990071456	-8.90934188319122	6.49689981242414e-12	1.7008031656492e-09	16.3794445714043
"Satb1"	0.985319515750474	6.96856497560574	8.77339204107404	1.04554195805161e-11	2.52973629214033e-09	16.3356895539474
"Dkk3"	0.661784311213845	7.4985759036006	8.77571743944666	1.03705218180674e-11	2.52973629214033e-09	16.3341101784183
"Nptxr"	-0.658600810085664	9.76756711389453	-8.72343338928392	1.24584980452624e-11	2.96939933260889e-09	16.1366813195758
"Glra2"	-0.96084350585344	5.00712881052024	-8.63935685433809	1.67417679565551e-11	3.87462742751056e-09	16.0442189924243
"LOC365985"	-0.663724705450913	7.2278847130624	-8.66611530046531	1.52379534727034e-11	3.57845410302353e-09	15.9545930591715
"Pdgfc"	-0.726740027309644	2.49244133906099	-8.60388882803065	1.89680693942302e-11	4.14933013912962e-09	15.8904859275305
"Inpp5f"	0.369100668134323	5.89018161951079	8.62639719690853	1.75229724139193e-11	3.9935780619063e-09	15.8590048801792
"Smarcd3"	-0.441495637278499	6.76654580033522	-8.62264547851518	1.77559047150947e-11	3.9935780619063e-09	15.8314912658632
"Pcdh9"	0.548404777960781	8.40375892185547	8.57377985795091	2.10906627559832e-11	4.49062391400395e-09	15.6181004204977
"Pim3"	0.30416006136258	5.00103388133496	8.48590356572719	2.87566108957396e-11	5.96382232979306e-09	15.4409748657939
"Ankrd6"	-0.338316714709208	7.02902482023765	-8.51405974411584	2.60354044655194e-11	5.47051807776157e-09	15.4299540149911
"Fsd2"	-1.12633642898393	0.554282575485949	-8.58640603728914	2.01728751025868e-11	4.35325192585417e-09	15.3372438821651
"Galr1"	-2.26751763907838	-0.333417419246254	-8.61219016123793	1.84216317607678e-11	4.0857644109403e-09	15.3142239952868
"Plekhg1"	0.926115587849598	4.19644747243684	8.40166658675894	3.87325020398066e-11	7.68255501540205e-09	15.2083595733782
"Nrp1"	0.505582258018289	6.26800484536289	8.40855178872465	3.78002261664346e-11	7.64090900825055e-09	15.0819667705107
"Btbd16"	-1.29601384905892	0.291714027807525	-8.46998090038413	3.04204545973875e-11	6.22800307007283e-09	14.8579127854847
"Ccdc129"	2.41610468909315	-1.311284020676	8.39995057417102	3.89684361104369e-11	7.68255501540205e-09	14.7698906974493
"Ano4"	0.438150925966649	5.13173280545563	8.2962862145849	5.62640469765734e-11	1.08250670622759e-08	14.7517392529179
"Slc27a2"	0.763871855760623	3.66583645967014	8.21499010445457	7.50904303666524e-11	1.39432451456404e-08	14.6075559252733
"Myom2"	1.32291938073287	1.0486371630652	8.27718278536207	6.02098388725739e-11	1.1446320439954e-08	14.5758992459587
"Cartpt"	-1.96990285185154	1.36118077767146	-8.26281205684649	6.33606210933404e-11	1.19035971557595e-08	14.4965199169691
"Lyzl4"	1.80413428891597	-1.61385928109128	8.32027163377127	5.16760532992728e-11	1.00635962821474e-08	14.4749167913156
"Sept4"	0.558368926933242	5.35853777994286	8.16729992972278	8.89653111150038e-11	1.61441710590397e-08	14.295428939582
"Ramp3"	0.875220513560022	3.46878839430865	8.1222802465496	1.04423871308228e-10	1.81254869665337e-08	14.2858908209991
"Chgb"	0.528997030547585	8.15571380474613	8.19416378866861	8.08597695247295e-11	1.48419501096598e-08	14.2815388144695
"Plxdc2"	0.40115954727037	6.38405400742383	8.1544138773381	9.31386455122509e-11	1.67115846088217e-08	14.1699157905197
"Slc39a6"	-0.395190736215624	5.78631583216953	-8.13977399964955	9.81194686667778e-11	1.74096643904419e-08	14.168524665646
"Ephb2"	0.508814474600614	5.70817235109822	8.12836450915311	1.02186305139324e-10	1.79320121623062e-08	14.152552377325
"Csrp2bp"	0.307350254289035	4.85973657367064	8.10395506053732	1.11465361221309e-10	1.91396812187428e-08	14.1047117400378
"Syndig1l"	0.865577297352475	3.00002957491064	7.9796229330573	1.73655193830539e-10	2.88864561487487e-08	13.7920546358602
"Cdh11"	0.588075782446181	7.58079051690629	8.04615253166156	1.36961752059483e-10	2.32674704110412e-08	13.7645098743808
"Ngb"	-0.663773303391775	3.34237263426449	-7.95312392945005	1.90890224304294e-10	3.11053672644416e-08	13.7013240118601
